epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.26738024412067296,91.89444444444445,0.07391544232055783,97.81666666666666,0.001
2,0.0952219579510073,97.12592592592593,0.06438232113686489,98.16666666666667,0.001
3,0.07284504668158148,97.83148148148148,0.06488008814507183,98.03333333333333,0.001
4,0.048493769232948396,98.5537037037037,0.04503702331443337,98.76666666666667,0.0001
5,0.040759610557560125,98.7388888888889,0.043196100651217186,98.83333333333333,0.0001
6,0.03985292712291063,98.81481481481481,0.04229440476851875,98.9,0.0001
7,0.03427152163379437,98.97407407407407,0.04189314887031635,98.91666666666667,1e-05
8,0.033922179881814354,98.9888888888889,0.041821441406314754,98.93333333333334,1e-05
9,0.03408308945282007,98.94444444444444,0.0415271233799471,98.95,1e-05
10,0.03466743963339666,98.9888888888889,0.041477949136838395,98.93333333333334,1.0000000000000002e-06
11,0.03348904462786798,99.01666666666667,0.04148954099621326,98.95,1.0000000000000002e-06
12,0.032695406937797364,98.9888888888889,0.041470992808636434,98.95,1.0000000000000002e-06
